LOG_NU,UFE_SG,LOC_NU,BAI_NU_INI,BAI_NU_FIM,LOG_NO,LOG_COMPLEMENTO,CEP,TLO_TX,LOG_STA_TLO,LOG_NO_ABREV
357132,RJ,7043,12185,NULL,"Quarto Centenário",NULL,23062300,Rua,S,"R Quarto Centenário"
359396,RJ,7043,12185,NULL,"Silvan Castelo Neto",NULL,23062320,Rua,S,"R Silvan C Neto"
354457,RJ,7043,12215,NULL,"Moacyr Bastos",NULL,23062330,Rua,S,"R Moacyr Bastos"
838911,RJ,7043,12215,NULL,"Adilson Slater","( Lot Sta Bertilha)",23062332,Rua,S,"R Adilson Slater"
838912,RJ,7043,12215,NULL,"Ema Davila de Camilis","(Lot Sta Bertilha)",23062334,Rua,S,"R Ema D de Camilis"
343063,RJ,7043,12215,NULL,"Alípio da Silva",NULL,23062340,Rua,S,"R Alípio da Silva"
346922,RJ,7043,12215,NULL,"Constantino Magalhães",NULL,23062350,Rua,S,"R Constantino Magalhães"
355402,RJ,7043,12215,NULL,"Operário Marcos Andreotti",NULL,23062360,Rua,S,"R Op Marcos Andreotti"
359639,RJ,7043,12185,NULL,"Soldado Osvaldo Pereira",NULL,23062370,Rua,S,"R Sd Osvaldo Pereira"
350344,RJ,7043,12185,NULL,Guapó,NULL,23062380,Rua,S,"R Guapó"
362791,RJ,7043,12185,NULL,Umbara,NULL,23062390,Rua,S,"R Umbara"
345182,RJ,7043,12185,NULL,Brejinho,NULL,23062410,Rua,S,"R Brejinho"
358839,RJ,7043,12185,NULL,Sapucarana,NULL,23062420,Rua,S,"R Sapucarana"
354692,RJ,7043,12185,NULL,Mucurici,NULL,23062430,Rua,S,"R Mucurici"
359827,RJ,7043,12185,NULL,Tabocas,NULL,23062440,Rua,S,"R Tabocas"
361907,RJ,7043,12185,NULL,Dezesseis,NULL,23062450,Rua,S,"R Dezesseis"
360815,RJ,7043,12185,NULL,Verdejante,NULL,23062460,Rua,S,"R Verdejante"
346143,RJ,7043,12185,NULL,Carpina,NULL,23062470,Rua,S,"R Carpina"
345611,RJ,7043,12215,NULL,Campeão,NULL,23062550,Rua,S,"R Campeão"
345640,RJ,7043,12215,NULL,"Campo Grande","- de 3502/3503 ao fim",23063000,Rua,S,"R Campo Grande"
351002,RJ,7043,12215,NULL,"de Inhoaiba",NULL,23063010,Estrada,S,"Est de Inhoaiba"
349819,RJ,7043,12215,NULL,"General Armando Gusmão",NULL,23063020,Rua,S,"R Gen Armando Gusmão"
355761,RJ,7043,12215,NULL,"do Papagaio",NULL,23063030,Rua,S,"R do Papagaio"
